espnEventId,eventName,date,Tour,owgrEventId
277,Canadian Open,"September 7 - 10, 2006",,
278,John Deere Classic,"July 13 - 16, 2006",,
279,B.C. Open presented by Turning Stone Resort,"July 20 - 23, 2006",,
281,Reno-Tahoe Open,"August 24 - 27, 2006",,
282,Wachovia Championship,"May 4 - 7, 2006",,
283,Deutsche Bank Championship,"September 1 - 4, 2006",,
284,Chrysler Classic of Greensboro,"October 5 - 8, 2006",,
285,Southern Farm Bureau Classic,"September 28 - October 1, 2006",,
286,Frys.com Open,"October 12 - 15, 2006",,
287,Valero Texas Open,"September 21 - 24, 2006",,
288,FUNAI Classic at the WALT DISNEY WORLD Resort,"October 19 - 22, 2006",,
289,THE TOUR Championship presented by Coca-Cola,"November 2 - 5, 2006",,
290,84 LUMBER Classic,"September 14 - 17, 2006",,
291,Chrysler Championship,"October 26 - 29, 2006",,
293,World Golf Championships-American Express Champion,"September 28 - October 1, 2006",,
294,Zurich Classic of New Orleans,"April 27 - 30, 2006",,
295,British Open Championship,"July 20 - 23, 2006",MAJ,3569
296,World Golf Championships-Bridgestone Invitational,"August 24 - 27, 2006",,
