"eventId","Week","Year","Tour","EventName","Winner","WinnerPts","playerId","WorldRating","HomeRating","FieldStrength"
5266,24,2013,"WEB","Air Capital Classic","Scott Parel",14,6421,1,1,2
5267,25,2013,"WEB","Rex Hospital Open","Chesson Hadley",14,14967,2,2,4
5268,26,2013,"WEB","United Leasing Championship","Ben Martin",14,14007,1,1,2
5269,28,2013,"WEB","Utah Championship Presented by Utah Sports Commission","Steven Alker",14,4871,1,1,2
5270,29,2013,"WEB","Midwest Classic Presented by Cadillac","Jamie Lovemark",14,11382,,,
5271,30,2013,"WEB","Albertsons Boise Open Presented by Kraft","Kevin Tway",14,13127,2,2,4
5272,31,2013,"WEB","Mylan Classic","Ben Martin",14,14007,2,2,4
5273,32,2013,"WEB","Price Cutter Charity Championship Presented by Dr Pepper","Andrew Svoboda",14,11274,,,
5274,33,2013,"WEB","News Sentinel Open Presented by Pilot","Peter Malnati",14,14926,2,2,4
5275,34,2013,"WEB","Cox Classic Presented by Lexus of Omaha","Bronson La'Cassie",14,11821,3,2,5
5276,35,2013,"WEB","Hotel Fitness Championship","Trevor Immelman",16,5935,10,8,18
5277,36,2013,"WEB","Chiquita Classic","Andrew Svoboda",16,11274,10,8,18
5278,37,2013,"WEB","Nationwide Children's Hospital Championship","Seungyul Noh",16,11117,11,8,19
5279,39,2013,"WEB","Web.com Tour Championship","Chesson Hadley",20,14967,9,7,16
5280,19,2013,"ONE"|"KOR","GS Caltex Maekyung Open Championship","Hyunwoo Ryu",8,13928,4,3,7
5281,20,2013,"ONE"|"KOR","SK Telecom Open","Matthew Griffin",6,9780,2,2,4
5282,11,2013,"SAM","55th Abierto Mexicano de Golf","Ted Purdy",6,5906,,,
5283,12,2013,"SAM","TransAmerican Power Products CRV Open","Manuel Villegas",6,13371,,,
5284,16,2013,"SAM","82nd Abierto del Centro","Angel Cabrera",8,5717,5,4,9
5285,17,2013,"SAM","Roberto De Vicenzo Invitational Copa NEC","Jose de Jesus Rodriguez",6,12855,,,
5286,18,2013,"SAM","Colombian Open","Tim O'Neal",6,9890,,,
5288,22,2013,"SAM","Dominican Republic Open","Ryan Blaum",6,9643,,,
5289,42,2013,"SAM","Brazil Open","Ryan Blaum",6,9643,,,
